Product,Grade,Company,Specific Grade
118WM,LL 1 Mfi Slip,Sabic Malaysia,LL
1820,LL 2 Mfi Non-Slip,Basell,LL
F18A020,LL 2 Mfi Non-Slip,Gail,LL
F0218L,LL 2 Mfi Non-Slip,HMEL,LL
F02020,LL 2 Mfi Non-Slip,HPCL,LL
2018N,LL 2 Mfi Non-Slip,Lotrene,LL
7042,LL 2 Mfi Non-Slip,Luban,LL
020F18A,LL 2 Mfi Non-Slip,Opal,LL
18020,LL 2 Mfi Non-Slip,RIL,LL
218NJ,LL 2 Mfi Non-Slip,Sabic,LL
7050,LL 2 Mfi Slip,Luban,LL
FC21HN,LL 2 Mfi Slip,Qamar,LL
1925,LL 2 Mfi Slip,Tasnee,LL
M5026L,LL 50 Mfi,HMEL,LL
E0725L,LL Lamination,HMEL,LL
E24065,LL Lamination,RIL,LL
M26500 ,LL Moulding (50Mfi),RIL,LL
5018L,LL Roto Moulding,HMEL,LL
T3804,LL Roto Moulding,Opal,LL
36RA045,LL Roto Moulding,RIL,LL
1018MK,LLM 1 Mfi Non-Slip,Exxon,LL
1018MA,LLM 1 Mfi Slip,Exxon,LL
K222D,Nylon,Akulon,Nylon
1013NW8,Nylon,UBE,Nylon
1350EG,PP Extrusion (35 Mfi),IOCL,PP
,PP Lamination,AAPC,PP
,PP Lamination,Basell,PP
,PP Lamination,Borough,PP
3155,PP Lamination,Exxon,PP
,PP Lamination,Gail,PP
,PP Lamination,Haldia,PP
Y35GR1 ,PP Lamination,HMEL,PP
,PP Lamination,HPCL,PP
,PP Lamination,IOCL,PP
,PP Lamination,Luban,PP
,PP Lamination,Luban,PP
,PP Lamination,Marlex,PP
HY035R,PP Lamination,MRPL ,PP
,PP Lamination,Nayara,PP
,PP Lamination,Nayara,PP
,PP Lamination,Opal,PP
,PP Lamination,Oriential Energy,PP
,PP Lamination,RIL,PP
,PP Lamination,Sabic,PP
Grade 1,PP Moulding,Basell,PP
,PP Moulding,Gail,PP
HM120A,PP Moulding,HPCL,PP
,PP Moulding,Marlex,PP
,PP Moulding,Oriential Energy,PP
,PP Moulding,Sabic,PP
HNR100,PP Moulding,Sasol,PP
168MO,PP Moulding (10 Mfi),Borough,PP
1110MG,PP Moulding (11 Mfi),IOCL,PP
1110MAS,PP Moulding (11 Mfi),IOCL,PP
H110MA,PP Moulding (11 Mfi),RIL,PP
1100N,PP Moulding (12 Mfi),AAPC,PP
125MO,PP Moulding (12 Mfi),Borough,PP
222NP,PP Moulding (12 Mfi),Borough,PP
M312,PP Moulding (12 Mfi),Haldia,PP
M12RR,PP Moulding (12 Mfi),HMEL,PP
HM120A,PP Moulding (12 Mfi),HPCL,PP
2106N,PP Moulding (12 Mfi),Luban,PP
2100N,PP Moulding (12 Mfi),Luban,PP
012T,PP Moulding (12 Mfi),MRPL ,PP
H120IG,PP Moulding (12 Mfi),Nayara,PP
AM120N,PP Moulding (12 Mfi),RIL,PP
P700J,PP Moulding (12 Mfi),SCG Chemcials,PP
MH13,PP Moulding (13 Mfi),Opal,PP
1200MC,PP Moulding (20 Mfi),IOCL,PP
1200MC,PP Moulding (20 Mfi),IOCL,PP
H200IG,PP Moulding (20 Mfi),Nayara,PP
1030MG,PP Moulding (3 Mfi),IOCL,PP
H350C,PP Moulding (38 Mfi),RIL,PP
1400MN,PP Moulding (40 Mfi),IOCL,PP
1060MG,PP Moulding (6 Mfi),IOCL,PP
M307,PP Moulding (7 Mfi),Haldia,PP
2380M,PP Moulding (7 Mfi),Luban,PP
NH120IG,PP Moulding NP (20 Mfi),Nayara,PP
456J,PP Raffia,Basell,PP
HC116FB,PP Raffia,Borough,PP
5032,PP Raffia,Exxon,PP
W20 ,PP Raffia,Gail,PP
Y50,PP Raffia,Gail,PP
R03RR,PP Raffia,HMEL,PP
HR033,PP Raffia,HPCL,PP
1030RG,PP Raffia,IOCL,PP
Marlex 030,PP Raffia,Marlex,PP
HR003,PP Raffia,MRPL ,PP
H036RG,PP Raffia,Nayara,PP
RH03,PP Raffia,Opal,PP
T03,PP Raffia,Oriential Energy,PP
H030SG,PP Raffia,RIL,PP
hkr102,PP Raffia,Sabic,PP
PP 500,PP Raffia,Sabic,PP
,PP Thermoforming,AAPC,PP
,PP Thermoforming,Basell,PP
,PP Thermoforming,Borough,PP
HT003T,PP Thermoforming,Gail,PP
,PP Thermoforming,Haldia,PP
,PP Thermoforming,HMEL,PP
205TF,PP Thermoforming,HPCL,PP
,PP Thermoforming,Luban,PP
,PP Thermoforming,Marlex,PP
,PP Thermoforming,MRPL ,PP
H030TN,PP Thermoforming,Nayara,PP
,PP Thermoforming,Nayara,PP
,PP Thermoforming,Opal,PP
,PP Thermoforming,Oriential Energy,PP
H050MN,PP Thermoforming,RIL,PP
528K,PP Thermoforming,Sabic,PP
1200YG,PP Thermoforming (20 Mfi),IOCL,PP
,PP TQ,AAPC,PP
,PP TQ,Basell,PP
631CF,PP TQ,Borough,PP
,PP TQ,Gail,PP
,PP TQ,Haldia,PP
F10SR,PP TQ,HMEL,PP
,PP TQ,HPCL,PP
1100FS,PP TQ,IOCL,PP
4128N,PP TQ,Luban,PP
,PP TQ,Luban,PP
,PP TQ,Marlex,PP
HF010,PP TQ,MRPL ,PP
H110QS,PP TQ,Nayara,PP
,PP TQ,Nayara,PP
FH10S,PP TQ,Opal,PP
,PP TQ,Oriential Energy,PP
100ey,PP TQ,RIL,PP
,PP TQ,Sabic,PP
,PPCP,AAPC,PP
420MO,PPCP,Borough,PP
568MO,PPCP,Borough,PP
,PPCP,Gail,PP
,PPCP,Haldia,PP
,PPCP,HPCL,PP
,PPCP,Luban,PP
,PPCP,Luban,PP
,PPCP,Marlex,PP
,PPCP,MRPL ,PP
,PPCP,Nayara,PP
,PPCP,Nayara,PP
,PPCP,Opal,PP
,PPCP,Oriential Energy,PP
C080,PPCP,RIL,PP
SRM100,PPCP,RIL,PP
SRX100,PPCP,RIL,PP
,PPCP,Sabic,PP
CM12RR ,PPCP (12 MFI),HMEL,PP
332L,PPCP (7 MFI),Basell,PP
265MO,PPCP (7 Mfi),Borough,PP
4080,PPCP (8 MFI),IOCL,PP
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
